Barcode,UMAP-1,UMAP-2
0,15.892906,2.2466214
1,14.857008,2.1820045
2,16.038744,2.5580077
3,13.948571,0.30382276
4,14.676487,3.0441947
5,16.507002,1.0486894
6,16.613161,1.1148257
7,15.666165,2.7231898
8,13.713238,2.6381886
9,15.079542,1.4660512
10,14.754363,3.383689
11,14.337687,0.17220044
12,14.066918,2.3586154
13,15.101391,0.79252607
14,15.921629,1.1583009
15,16.473837,1.4587533
16,13.213078,2.0864217
17,14.10649,1.9050694
18,14.218037,3.1034088
19,15.299558,3.153695
20,14.78023,0.35660875
21,16.280094,0.9081095
22,14.410819,0.8313067
23,13.956354,1.2809123
24,15.921667,2.7748065
25,14.601316,0.24673791
26,13.273464,1.5095412
27,14.908329,1.0923501
28,15.7780485,3.1547315
29,13.8533125,2.0691798
30,15.097501,2.789344
31,14.901013,3.6292813
32,15.326969,3.708877
33,15.338457,1.6943542
34,16.313288,3.073375
35,13.663869,1.4976661
36,14.729226,0.57755476
37,16.239168,2.6795976
38,14.130336,0.83219355
39,14.277217,2.0522742
40,15.62116,1.3680574
41,13.375348,0.81616324
42,15.095654,0.7440381
43,16.57914,1.906068
44,15.708408,1.0582865
45,13.285575,1.7884586
46,13.553257,1.9536704
47,15.424757,2.8479176
48,15.252876,2.8981662
49,14.699716,3.5444686
50,14.197878,0.8569007
51,15.690252,1.1682467
52,14.351796,2.7793949
53,15.02122,1.9860612
54,16.276709,1.5026422
55,15.805035,1.6793014
56,15.06542,1.1386138
57,13.733588,0.868368
58,15.489859,2.1578572
59,14.818931,2.227699
60,14.821659,0.07525027
61,15.723523,2.4757018
62,15.7747345,1.4140075
63,16.11035,3.270295
64,15.445737,3.2987304
65,15.8327675,3.6074522
66,14.099747,2.9427276
67,14.858957,-0.08608182
68,14.713033,2.2681744
69,14.631985,1.7535807
70,14.956889,3.0927036
71,15.341098,0.2870323
72,15.49449,1.654999
73,13.891633,1.3268528
74,16.35574,2.2517576
75,15.468806,0.86392
76,14.57962,1.3764892
77,14.437132,2.2862487
78,14.438501,1.3043225
79,13.6333885,0.5040207
80,16.15735,2.8830876
81,14.432955,1.8256935
82,14.726827,1.4391785
83,15.058303,1.3078191
84,15.599397,2.3474436
85,13.809531,2.5700963
86,13.870916,0.5520812
87,16.10664,0.72660995
88,14.861174,0.7535508
89,15.24347,1.4575983
90,13.548953,1.2955468
91,16.20221,1.7291195
92,14.12368,1.60311
93,15.36974,2.193545
94,14.535859,1.4704938
95,14.713817,2.1127982
96,15.282302,3.608872
97,14.385741,2.3972251
98,15.255707,1.8659372
99,13.806552,2.3451378
100,4.164232,11.032158
101,3.7802331,12.906063
102,5.9224653,12.721434
103,6.33446,12.398384
104,2.7515333,11.198264
105,2.975958,13.323266
106,2.8455913,11.307491
107,5.9858737,12.06604
108,6.3934107,13.278648
109,6.709,13.787614
110,3.361031,12.453688
111,5.877021,14.320238
112,5.497417,14.311503
113,2.426139,13.671412
114,5.622935,12.473695
115,2.302753,11.480969
116,5.5037055,12.381895
117,4.7742095,14.025978
118,4.6342154,11.319778
119,2.5185268,11.447543
120,4.1801853,13.728002
121,4.714828,13.767625
122,4.1589885,12.228795
123,3.8334348,12.103895
124,6.0506177,13.527219
125,3.8975694,10.7410345
126,4.5009885,14.057551
127,6.4073033,13.959898
128,3.8477256,13.163742
129,6.240749,14.395845
130,5.520283,12.016348
131,6.022621,12.522273
132,2.3266037,13.355091
133,2.4596307,12.4073
134,4.779808,11.872928
135,5.4688687,12.906894
136,6.412009,12.678693
137,6.374457,14.228204
138,6.4444866,13.093604
139,6.4286294,13.743975
140,5.8145814,12.993647
141,3.913432,13.194847
142,6.4409413,12.672806
143,4.3899426,11.468049
144,4.3841553,13.229877
145,3.790196,11.182598
146,3.0840454,12.606141
147,5.7242465,14.30345
148,5.228445,13.524501
149,6.1688523,14.147236
150,5.8515577,13.660114
151,4.132125,11.211008
152,3.957368,11.07253
153,5.3006163,13.671139
154,5.488203,14.441553
155,3.6145027,12.708439
156,4.747523,12.901571
157,2.2285385,13.304557
158,3.6604693,13.276638
159,2.0881128,13.4526415
160,4.1750965,12.730537
161,2.977675,13.152886
162,5.0994873,11.513075
163,2.7431111,11.535418
164,5.3915777,12.573522
165,4.1617637,13.629236
166,2.6104302,12.18633
167,5.3767033,11.942547
168,6.157332,13.695366
169,5.813189,13.962475
170,6.7701287,13.333618
171,2.8159702,11.120521
172,6.6286826,13.9808
173,2.4839175,11.4002905
174,4.3997054,13.6832
175,2.5951707,13.189097
176,4.6425533,12.386949
177,2.6860595,11.922051
178,5.099534,14.213729
179,2.348015,12.766923
180,3.3724387,12.967363
181,6.186829,12.758961
182,2.66719,12.946321
183,5.0080023,12.619154
184,5.8212323,13.176705
185,4.9667025,11.614851
186,2.3771772,12.3653145
187,4.670076,11.3624115
188,3.4240088,11.301984
189,4.071933,11.097037
190,2.8974986,12.630114
191,2.152468,12.993734
192,5.155554,12.204059
193,5.4194217,12.912289
194,2.1601696,13.629758
195,3.6773548,10.920739
196,4.157048,13.365832
197,5.4860406,13.804959
198,2.3934164,12.760768
199,2.7661366,12.914482
